"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"197846","occ","","","20386","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2854","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.099998","32.900002","US","California","San Diego","based on political unit","1","",""
"197862","occ","","","20387","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3014","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.000000","37.599998","US","California","Alameda","based on political unit","1","small collection",""
"197925","occ","","","20390","Mammuthus cf. columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1912","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.099998","38.700001","US","Kansas","Ellsworth","based on political unit","1","",""
"197960","occ","9605","","20396","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","2299","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.699997","32.000000","US","New Mexico","Dona Ana","based on political unit","1","","north of Las Cruces, Mesilla Basin"
"197967","occ","9607","","20397","Mammuthus cf. hayi","species","47876","","Mammuthus hayi","species","44254","Blancan","Irvingtonian","4.9","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.699997","32.000000","US","New Mexico","Dona Ana","based on political unit","1","small collection",""
"198017","occ","9623","","20400","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","3574","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.500000","27.700001","US","Florida","Hillsborough","stated in text","minutes","","7 km SW of Ruskin"
"198075","occ","9633","","20409","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","939","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.099998","32.900002","US","California","San Diego","based on political unit","1","","Borrego Badlands<br>county assignment uncertain"
"198076","occ","9634","","20409","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","939","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.099998","32.900002","US","California","San Diego","based on political unit","1","","Borrego Badlands<br>county assignment uncertain"
"198094","occ","","","20412","Mammuthus cf. imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3083","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-101.300003","34.500000","US","Texas","Briscoe","based on political unit","1","",""
"198141","occ","","","20418","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1200","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-110.699997","50.099998","CA","Alberta","","based on nearby landmark","1","small collection",""
"198152","occ","9647","","20420","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.800003","34.000000","US","Texas","Foard","based on political unit","1","",""
"198237","occ","","","20432","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","3574","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-140.000000","68.199997","CA","Yukon","","based on nearby landmark","1","small collection",""
"198295","occ","","","20440","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Rancholabrean","","0.3","0.012","2050","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.800003","27.799999","US","Florida","Pinellas","based on political unit","1","small collection","1 km NE of Safety Harbor"
"198347","occ","","","20452","Mammuthus cf. columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2725","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.000000","33.900002","US","California","Riverside","based on political unit","1","small collection",""
"198367","occ","9676","","20454","Mammuthus cf. hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.000000","33.900002","US","California","Riverside","based on political unit","1","small collection",""
"198449","occ","","","20475","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","2615","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.800003","27.900000","US","Florida","Polk","based on political unit","1","",""
